"Output","pkParameter","Quantile","Value","Unit","IndividualId","Filename"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","C_max",0.05,5.485779,"µmol/l",73,"Filmcoated_tablet_400mg_sd-SensitivityAnalysisResultsIndividualId-73.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","C_max",0.5,8.821111,"µmol/l",1,"Filmcoated_tablet_400mg_sd-SensitivityAnalysisResultsIndividualId-1.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","C_max",0.95,11.90484,"µmol/l",69,"Filmcoated_tablet_400mg_sd-SensitivityAnalysisResultsIndividualId-69.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","C_max_norm",0.05,444929.4,"mg/l",73,"Filmcoated_tablet_400mg_sd-SensitivityAnalysisResultsIndividualId-73.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","C_max_norm",0.5,715444.8,"mg/l",1,"Filmcoated_tablet_400mg_sd-SensitivityAnalysisResultsIndividualId-1.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","C_max_norm",0.95,965553.8,"mg/l",69,"Filmcoated_tablet_400mg_sd-SensitivityAnalysisResultsIndividualId-69.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","t_max",0.05,0.5,"h",16,"Filmcoated_tablet_400mg_sd-SensitivityAnalysisResultsIndividualId-16.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","t_max",0.5,0.7,"h",0,"Filmcoated_tablet_400mg_sd-SensitivityAnalysisResultsIndividualId-0.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","t_max",0.95,1,"h",12,"Filmcoated_tablet_400mg_sd-SensitivityAnalysisResultsIndividualId-12.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","C_tEnd",0.05,0.04430071,"µmol/l",44,"Filmcoated_tablet_400mg_sd-SensitivityAnalysisResultsIndividualId-44.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","C_tEnd",0.5,0.07230664,"µmol/l",99,"Filmcoated_tablet_400mg_sd-SensitivityAnalysisResultsIndividualId-99.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","C_tEnd",0.95,0.1410082,"µmol/l",50,"Filmcoated_tablet_400mg_sd-SensitivityAnalysisResultsIndividualId-50.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","AUC_tEnd",0.05,872.9625,"µmol*min/l",66,"Filmcoated_tablet_400mg_sd-SensitivityAnalysisResultsIndividualId-66.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","AUC_tEnd",0.5,1303.127,"µmol*min/l",38,"Filmcoated_tablet_400mg_sd-SensitivityAnalysisResultsIndividualId-38.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","AUC_tEnd",0.95,2011.36,"µmol*min/l",69,"Filmcoated_tablet_400mg_sd-SensitivityAnalysisResultsIndividualId-69.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","AUC_tEnd_norm",0.05,70802470000,"µg*min/l",66,"Filmcoated_tablet_400mg_sd-SensitivityAnalysisResultsIndividualId-66.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","AUC_tEnd_norm",0.5,1.0537e+11,"µg*min/l",31,"Filmcoated_tablet_400mg_sd-SensitivityAnalysisResultsIndividualId-31.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","AUC_tEnd_norm",0.95,163133300000,"µg*min/l",69,"Filmcoated_tablet_400mg_sd-SensitivityAnalysisResultsIndividualId-69.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","AUC_inf",0.05,917.0308,"µmol*min/l",4,"Filmcoated_tablet_400mg_sd-SensitivityAnalysisResultsIndividualId-4.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","AUC_inf",0.5,1365.492,"µmol*min/l",0,"Filmcoated_tablet_400mg_sd-SensitivityAnalysisResultsIndividualId-0.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","AUC_inf",0.95,2095.525,"µmol*min/l",14,"Filmcoated_tablet_400mg_sd-SensitivityAnalysisResultsIndividualId-14.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","AUC_inf_norm",0.05,74376680000,"µg*min/l",4,"Filmcoated_tablet_400mg_sd-SensitivityAnalysisResultsIndividualId-4.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","AUC_inf_norm",0.5,110749500000,"µg*min/l",0,"Filmcoated_tablet_400mg_sd-SensitivityAnalysisResultsIndividualId-0.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","AUC_inf_norm",0.95,169959600000,"µg*min/l",14,"Filmcoated_tablet_400mg_sd-SensitivityAnalysisResultsIndividualId-14.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","MRT",0.05,4.432828,"h",80,"Filmcoated_tablet_400mg_sd-SensitivityAnalysisResultsIndividualId-80.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","MRT",0.5,5.196126,"h",49,"Filmcoated_tablet_400mg_sd-SensitivityAnalysisResultsIndividualId-49.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","MRT",0.95,6.69741,"h",18,"Filmcoated_tablet_400mg_sd-SensitivityAnalysisResultsIndividualId-18.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","Thalf",0.05,5.743992,"h",50,"Filmcoated_tablet_400mg_sd-SensitivityAnalysisResultsIndividualId-50.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","Thalf",0.5,9.218443,"h",12,"Filmcoated_tablet_400mg_sd-SensitivityAnalysisResultsIndividualId-12.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","Thalf",0.95,16.78826,"h",21,"Filmcoated_tablet_400mg_sd-SensitivityAnalysisResultsIndividualId-21.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","CL",0.05,5.883751,"ml/min/kg",14,"Filmcoated_tablet_400mg_sd-SensitivityAnalysisResultsIndividualId-14.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","CL",0.5,9.032582,"ml/min/kg",5,"Filmcoated_tablet_400mg_sd-SensitivityAnalysisResultsIndividualId-5.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","CL",0.95,13.44508,"ml/min/kg",4,"Filmcoated_tablet_400mg_sd-SensitivityAnalysisResultsIndividualId-4.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","Vss",0.05,1883.778,"ml/kg",98,"Filmcoated_tablet_400mg_sd-SensitivityAnalysisResultsIndividualId-98.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","Vss",0.5,2697.122,"ml/kg",55,"Filmcoated_tablet_400mg_sd-SensitivityAnalysisResultsIndividualId-55.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","Vss",0.95,4876.507,"ml/kg",12,"Filmcoated_tablet_400mg_sd-SensitivityAnalysisResultsIndividualId-12.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","Vd",0.05,3968.634,"ml/kg",81,"Filmcoated_tablet_400mg_sd-SensitivityAnalysisResultsIndividualId-81.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","Vd",0.5,6864.567,"ml/kg",47,"Filmcoated_tablet_400mg_sd-SensitivityAnalysisResultsIndividualId-47.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","Vd",0.95,16885.45,"ml/kg",76,"Filmcoated_tablet_400mg_sd-SensitivityAnalysisResultsIndividualId-76.csv"
